benchmark,init_prod_time_L,init_prod_time_H,prod_discount_L,prod_discount_H,weight_L,weight_H,due_time_L,due_time_H,maint_len_L,maint_len_H
[18. 19.  4.  4.  0.],[19. 19. 19.  0. 19.],[0. 4. 0. 4. 0.],[6. 0. 0. 0. 2.],[6. 0. 0. 0. 3.],[9. 0. 0. 2. 0.],[ 6. 10.  0.  0.  2.],[ 0. 19.  0. 19.  0.],[0. 6. 0. 1. 2.],[8. 0. 3. 0. 0.],[ 0. 19. 19. 19.  0.]
[7. 0. 0. 4. 0.],[19. 19. 19.  2.  0.],[6. 0. 4. 0. 0.],[ 6.  0. 19. 19.  0.],[6. 6. 0. 6. 0.],[ 0. 19.  0.  0.  0.],[ 8.  6. 15.  0.  0.],[ 0.  0.  0. 19.  0.],[0. 0. 0. 0. 0.],[ 0. 19.  0.  3.  0.],[0. 0. 0. 0. 0.]
[ 6. 13.  5.  0.  0.],[19. 19.  0. 19.  0.],[0. 4. 0. 3. 0.],[0. 4. 0. 0. 0.],[6. 0. 0. 0. 0.],[0. 0. 0. 0. 0.],[ 0.  0. 19. 19.  0.],[ 6.  0. 19. 19.  0.],[5. 0. 0. 0. 0.],[7. 0. 0. 0. 0.],[5. 5. 0. 0. 0.]
[ 0. 19.  0.  0.  0.],[ 2.  0. 19. 19.  0.],[0. 0. 0. 0. 0.],[ 2.  0. 19. 19.  0.],[4. 4. 0. 3. 0.],[ 0.  0. 19. 15.  0.],[0. 8. 0. 0. 8.],[ 0.  6.  0. 19.  0.],[0. 0. 0. 0. 0.],[ 0. 10.  5.  0.  0.],[19.  0.  0.  0.  0.]
[0. 5. 0. 3. 0.],[ 7. 19.  0. 19.  0.],[0. 0. 0. 0. 0.],[0. 6. 0. 0. 0.],[ 7.  5.  0. 19.  0.],[2. 0. 0. 2. 0.],[0. 0. 0. 7. 0.],[ 6.  0. 19.  0.  0.],[0. 0. 0. 0. 0.],[5. 0. 4. 0. 0.],[0. 0. 0. 1. 0.]
[0. 0. 5. 0. 0.],[ 6.  0. 19.  0. 19.],[4. 6. 6. 0. 0.],[2. 0. 5. 2. 0.],[ 1. 19.  1. 18.  1.],[0. 0. 0. 0. 0.],[6. 0. 0. 0. 0.],[ 2. 19.  0.  2.  2.],[0. 0. 0. 0. 0.],[ 6.  1. 19.  1.  4.],[6. 0. 0. 0. 0.]
[9. 0. 0. 1. 0.],[19. 19.  4.  0.  0.],[0. 0. 0. 0. 0.],[2. 0. 7. 2. 0.],[6. 5. 0. 0. 0.],[0. 0. 6. 1. 0.],[ 0. 19.  0.  0.  0.],[ 6. 11. 19.  0.  0.],[ 8.  5. 12.  0.  0.],[ 2.  8. 13. 19.  0.],[0. 9. 0. 3. 0.]
[6. 9. 6. 0. 0.],[19.  8. 19.  3.  0.],[ 4.  6.  0. 15.  0.],[11. 13. 19.  0.  0.],[ 2.  0.  3. 10.  0.],[6. 0. 0. 0. 0.],[0. 0. 3. 3. 0.],[7. 0. 0. 1. 0.],[5. 0. 0. 0. 0.],[ 0. 17.  0.  0.  0.],[6. 6. 0. 0. 0.]
[ 7. 12.  0.  0.  0.],[19. 19. 19.  0. 19.],[0. 0. 0. 0. 0.],[7. 5. 1. 0. 1.],[7. 0. 0. 0. 0.],[ 0.  5. 10.  0.  0.],[3. 0. 0. 2. 2.],[ 8.  6. 10.  0.  0.],[ 5. 10.  3.  3.  0.],[ 6.  0. 16.  0.  0.],[8. 0. 0. 0. 0.]
[ 6.  0.  0. 19.  0.],[19.  7. 19. 19.  0.],[0. 6. 0. 0. 0.],[5. 0. 4. 0. 3.],[6. 0. 0. 0. 0.],[5. 0. 5. 0. 0.],[16.  2.  2.  2.  2.],[ 7.  0. 19.  0.  0.],[0. 0. 0. 0. 0.],[5. 1. 0. 1. 2.],[ 0.  0. 16.  0.  0.]
[ 0.  9. 11.  0.  0.],[19. 19. 19. 19.  0.],[ 0. 12.  0. 16.  0.],[ 0. 19.  2.  7.  0.],[19.  4.  0.  0.  0.],[ 0.  0. 19.  0.  0.],[7. 0. 0. 1. 0.],[19.  0. 19.  0.  0.],[17. 17.  0.  0.  0.],[0. 4. 0. 1. 0.],[ 0.  6. 10.  0.  0.]
[ 6.  0. 18.  0.  0.],[19. 19.  4.  0.  0.],[11.  4.  0. 16.  0.],[ 0.  0. 19. 17.  0.],[0. 0. 0. 0. 0.],[5. 0. 0. 3. 0.],[ 0.  6.  0. 19.  0.],[ 8.  0. 19.  0.  0.],[ 4. 11.  0.  0.  0.],[ 5.  0. 19.  9.  0.],[ 1.  6. 10.  0.  0.]
[0. 0. 3. 0. 0.],[ 0. 19.  1.  0.  1.],[3. 0. 0. 0. 0.],[ 6.  0. 18.  0.  0.],[0. 3. 0. 3. 0.],[ 0.  0.  5. 10.  0.],[ 0. 17.  0. 17.  0.],[ 7.  0. 10.  0.  0.],[6. 0. 0. 2. 0.],[0. 2. 0. 0. 2.],[ 6.  0.  4. 19.  0.]
[0. 4. 9. 0. 0.],[19. 19. 19. 19.  0.],[0. 0. 1. 0. 0.],[ 5. 13.  0. 18.  0.],[ 5.  0. 19. 19.  0.],[6. 0. 0. 0. 0.],[ 6. 19.  5.  0.  0.],[ 1. 19.  0. 19.  0.],[0. 0. 0. 0. 0.],[19.  4.  1.  0.  0.],[6. 9. 0. 0. 0.]
[ 7. 12.  0.  0.  0.],[18. 18.  0.  0.  0.],[0. 4. 0. 0. 0.],[ 0. 19. 19.  0.  0.],[0. 3. 0. 3. 0.],[ 6. 10.  0. 19.  0.],[ 8. 13.  0.  0.  0.],[ 0. 19.  0.  0.  0.],[ 7.  0. 16.  0.  0.],[7. 0. 0. 0. 0.],[0. 0. 0. 0. 0.]
[3. 3. 0. 3. 3.],[19. 19. 19.  0.  0.],[0. 0. 0. 0. 0.],[9. 9. 5. 2. 0.],[ 7. 13. 19.  0.  0.],[7. 0. 0. 0. 2.],[ 0.  4. 19.  0.  2.],[7. 0. 6. 0. 0.],[4. 0. 0. 0. 0.],[ 0. 13. 19.  0.  0.],[ 1.  0.  4. 19.  0.]
[ 9.  0. 15. 12.  0.],[19. 19. 19. 19.  0.],[0. 0. 3. 0. 0.],[ 6.  0. 19.  0.  3.],[ 5. 12.  5.  0.  0.],[ 5. 10.  0. 19.  0.],[ 5.  0. 19. 19.  0.],[ 7. 10.  0.  0.  0.],[0. 0. 0. 0. 0.],[14. 14. 17.  0.  0.],[0. 7. 0. 0. 0.]
[8. 0. 8. 0. 0.],[19. 19. 19. 19.  2.],[0. 0. 0. 0. 0.],[6. 0. 0. 0. 2.],[ 7.  0. 19.  0.  0.],[6. 0. 0. 3. 0.],[0. 4. 0. 4. 0.],[ 6.  0.  0. 19.  0.],[0. 0. 0. 0. 0.],[ 6. 11.  6.  0.  0.],[10. 10. 14.  0.  0.]
[ 0. 19.  0.  3.  0.],[19. 19. 19. 19.  3.],[0. 0. 0. 0. 7.],[5. 5. 5. 0. 0.],[2. 0. 4. 4. 0.],[ 0. 11.  0.  0.  0.],[ 0. 19.  0. 19.  0.],[12. 14.  0. 19.  0.],[4. 4. 0. 0. 0.],[ 0. 19.  0.  0.  0.],[4. 0. 0. 0. 0.]
[0. 5. 0. 0. 0.],[7. 0. 0. 0. 0.],[0. 3. 0. 0. 0.],[2. 0. 1. 5. 1.],[6. 0. 0. 6. 0.],[ 0.  0. 12. 18.  0.],[11. 11. 17.  0.  0.],[ 0. 12.  0. 19.  0.],[0. 4. 0. 1. 0.],[15. 12. 18.  0.  0.],[6. 0. 0. 6. 0.]
